protein_name,subcellular_location,cellular_location,sequence_length
Q07349,Mitochondrion,M,420
Q6P1Q0,Mitochondrion,M,360
P83095,Mitochondrion,U,556
O14322,Mitochondrion,M,313
Q09969,Mitochondrion,M,221
Q03557,Mitochondrion,U,464
Q9JIK9,Mitochondrion,U,218
P29197,Mitochondrion,U,577
P47007,Mitochondrion,U,382
Q9NQH7,Mitochondrion,U,507
Q9M065,Mitochondrion,U,412
Q4QQW3,Mitochondrion,U,467
Q9P0M9,Mitochondrion,U,148
Q91Y80,Mitochondrion,U,457
Q9V3U9,Mitochondrion,U,215
Q96CU9,Mitochondrion,M,486
Q8IYU8,Mitochondrion,S,434
F4IAW1,Mitochondrion,U,326
Q2TBS2,Mitochondrion,U,209
Q9Y4W6,Mitochondrion,M,797
Q06493,Mitochondrion,M,454
P32843,Mitochondrion,M,850
Q9Y6G3,Mitochondrion,U,142
P53724,Mitochondrion,U,139
P53722,Mitochondrion,M,227
O13793,Mitochondrion,M,322
Q9ZUX4,Mitochondrion,U,113
O13973,Mitochondrion,U,88
P92983,Mitochondrion,U,499
Q8VYP0,Mitochondrion,M,334
O74550,Mitochondrion,U,128
P27680,Mitochondrion,M,312
O13809,Mitochondrion,M,266
Q8TFH2,Mitochondrion,M,317
P42765,Mitochondrion,U,397
P42940,Mitochondrion,S,261
O75746,Mitochondrion,M,678
P42949,Mitochondrion,M,149
Q9NPH0,Mitochondrion,U,428
Q2TA68,Mitochondrion,M,960
Q9LSW8,Mitochondrion,S,251
Q10139,Mitochondrion,U,105
Q949J1,Mitochondrion,U,192
P53292,Mitochondrion,U,345
P27469,Mitochondrion,U,103
P54964,Mitochondrion,U,269
P53299,Mitochondrion,M,105
Q9ZPF5,Mitochondrion,U,344
Q84JL2,Mitochondrion,S,472
Q12184,Mitochondrion,S,172
P48237,Mitochondrion,U,864
Q32PI8,Mitochondrion,U,415
O82179,Mitochondrion,U,156
Q91WS0,Mitochondrion,M,108
Q54S83,Mitochondrion,U,484
P46681,Mitochondrion,S,530
P92969,Mitochondrion,U,976
O60121,Mitochondrion,U,354
Q96BR5,Mitochondrion,S,231
Q9UUB0,Mitochondrion,U,90
Q9FXA8,Mitochondrion,U,616
Q9Y7M7,Mitochondrion,M,726
O60239,Mitochondrion,U,455
O94583,Mitochondrion,U,182
Q9CPY0,Mitochondrion,U,246
Q9NYY8,Mitochondrion,S,710
Q12167,Mitochondrion,U,365
Q12166,Mitochondrion,U,604
P50085,Mitochondrion,M,310
Q78YY6,Mitochondrion,M,149
Q9P6N3,Mitochondrion,M,317
Q03430,Mitochondrion,U,361
Q93Z17,Mitochondrion,U,173
P10663,Mitochondrion,U,115
P10662,Mitochondrion,U,321
Q9BX68,Mitochondrion,U,163
P38705,Mitochondrion,S,446
Q07534,Mitochondrion,M,307
Q08818,Mitochondrion,U,692
P84029,Mitochondrion,S,108
Q8LCU7,Mitochondrion,U,375
Q9LYY2,Mitochondrion,M,112
Q9LPS1,Mitochondrion,M,498
O94368,Mitochondrion,U,697
P25039,Mitochondrion,U,761
Q99N92,Mitochondrion,U,148
Q9P7H5,Mitochondrion,M,175
Q99M04,Mitochondrion,U,373
Q9ZNT7,Mitochondrion,M,286
Q9P7W1,Mitochondrion,U,202
Q9NRY6,Mitochondrion,M,295
O14354,Mitochondrion,S,270
Q10480,Mitochondrion,M,322
P39722,Mitochondrion,M,662
Q08774,Mitochondrion,U,242
P39726,Mitochondrion,U,170
Q96CB9,Mitochondrion,U,384
O74832,Mitochondrion,U,524
Q9Y6N1,Mitochondrion,M,276
A8NN94,Mitochondrion,U,96
Q96NN9,Mitochondrion,U,605
Q969Z0,Mitochondrion,U,631
P29147,Mitochondrion,M,343
Q86UT6,Mitochondrion,M,975
Q8J1Z1,Mitochondrion,M,88
Q8LGI2,Mitochondrion,M,454
Q9Y255,Mitochondrion,S,219
P32388,Mitochondrion,U,137
O75570,Mitochondrion,U,445
P32387,Mitochondrion,U,263
P32891,Mitochondrion,M,587
P32897,Mitochondrion,M,222
P32898,Mitochondrion,S,989
Q6P1L8,Mitochondrion,U,145
Q9NTG7,Mitochondrion,S,399
Q6C793,Mitochondrion,S,465
P43557,Mitochondrion,M,207
Q8K1Z0,Mitochondrion,U,313
P28817,Mitochondrion,U,500
O42636,Mitochondrion,U,278
Q9FLQ4,Mitochondrion,U,464
Q9ASY8,Mitochondrion,M,75
P10127,Mitochondrion,U,382
Q96I36,Mitochondrion,M,57
O14000,Mitochondrion,S,539
Q3MHY7,Mitochondrion,U,262
Q384Y1,Mitochondrion,U,929
Q384Y0,Mitochondrion,U,1048
Q12374,Mitochondrion,M,616
Q12375,Mitochondrion,M,292
P14604,Mitochondrion,S,290
Q2KI49,Mitochondrion,U,159
Q2YDI0,Mitochondrion,U,192
O22043,Mitochondrion,U,336
Q12082,Mitochondrion,U,118
Q3SZ86,Mitochondrion,U,205
P82930,Mitochondrion,U,218
P82931,Mitochondrion,U,124
Q12089,Mitochondrion,M,606
P33416,Mitochondrion,S,811
A8E7G5,Mitochondrion,M,316
Q78J03,Mitochondrion,U,175
Q9Y5R4,Mitochondrion,U,338
P07213,Mitochondrion,M,617
Q9SIU0,Mitochondrion,U,623
O60220,Mitochondrion,M,97
Q10306,Mitochondrion,S,483
Q57VU6,Mitochondrion,S,693
Q9UT54,Mitochondrion,U,125
P19882,Mitochondrion,S,572
Q8NC60,Mitochondrion,M,698
Q8BXN7,Mitochondrion,S,372
Q96B49,Mitochondrion,M,74
P50273,Mitochondrion,M,684
Q86SX6,Mitochondrion,S,157
Q03153,Mitochondrion,M,612
Q03151,Mitochondrion,M,367
Q42577,Mitochondrion,U,218
Q8NI60,Mitochondrion,M,647
Q3UN04,Mitochondrion,M,517
Q70HW3,Mitochondrion,M,274
P19956,Mitochondrion,U,98
P19955,Mitochondrion,U,123
Q53H12,Mitochondrion,M,422
P07390,Mitochondrion,M,489
P47802,Mitochondrion,M,317
Q3UMR5,Mitochondrion,M,350
Q96250,Mitochondrion,M,325
Q8NE86,Mitochondrion,M,351
O94398,Mitochondrion,U,268
Q03713,Mitochondrion,M,159
P39533,Mitochondrion,U,789
Q99N89,Mitochondrion,U,183
Q9BUK6,Mitochondrion,M,570
Q9P7E0,Mitochondrion,M,79
P53077,Mitochondrion,U,123
Q96AQ8,Mitochondrion,M,359
Q9Y399,Mitochondrion,U,296
O74801,Mitochondrion,U,261
P52901,Mitochondrion,S,389
Q969Y2,Mitochondrion,U,492
Q96EY7,Mitochondrion,U,689
O13844,Mitochondrion,M,291
P04181,Mitochondrion,S,439
Q2HJJ1,Mitochondrion,U,256
Q00711,Mitochondrion,M,640
Q9SAB4,Mitochondrion,U,405
P00508,Mitochondrion,S,423
Q03976,Mitochondrion,U,319
Q381V6,Mitochondrion,S,819
Q9P3U7,Mitochondrion,M,547
F4JIP6,Mitochondrion,U,304
Q8VYR5,Mitochondrion,U,444
P08067,Mitochondrion,M,215
P53969,Mitochondrion,M,484
P28778,Mitochondrion,U,131
Q94A28,Mitochondrion,U,995
P32559,Mitochondrion,U,526
Q04013,Mitochondrion,M,314
Q09726,Mitochondrion,M,542
Q86A84,Mitochondrion,S,654
O88561,Mitochondrion,M,667
Q86U28,Mitochondrion,U,154
O14160,Mitochondrion,U,950
Q9VM33,Mitochondrion,U,745
Q9UI32,Mitochondrion,U,602
Q7KZN9,Mitochondrion,M,410
Q84JG5,Mitochondrion,U,196
Q04499,Mitochondrion,S,681
P00890,Mitochondrion,S,479
Q8L6J5,Mitochondrion,U,1002
Q0QF01,Mitochondrion,M,664
Q584D5,Mitochondrion,U,244
Q6P4F2,Mitochondrion,S,183
Q57YG0,Mitochondrion,S,992
Q39056,Mitochondrion,S,270
Q9JIQ3,Mitochondrion,U,237
Q04728,Mitochondrion,S,441
O59824,Mitochondrion,M,709
P22135,Mitochondrion,U,325
P82923,Mitochondrion,U,293
Q12093,Mitochondrion,U,417
P82927,Mitochondrion,U,142
P82925,Mitochondrion,U,386
P82924,Mitochondrion,U,435
P82929,Mitochondrion,U,218
P82928,Mitochondrion,U,189
Q8CFD0,Mitochondrion,M,342
Q84LB6,Mitochondrion,U,417
P38825,Mitochondrion,M,639
O22145,Mitochondrion,M,480
Q56XE8,Mitochondrion,M,502
Q94B78,Mitochondrion,U,1037
Q96RQ3,Mitochondrion,S,725
P36078,Mitochondrion,M,116
Q08970,Mitochondrion,M,484
P38927,Mitochondrion,U,245
F4HYF3,Mitochondrion,U,401
P40050,Mitochondrion,U,688
Q3MHJ5,Mitochondrion,U,138
P93834,Mitochondrion,M,502
P11178,Mitochondrion,S,455
Q99JR6,Mitochondrion,U,245
O94492,Mitochondrion,U,438
Q9UT06,Mitochondrion,U,419
Q9VY99,Mitochondrion,U,1201
P50861,Mitochondrion,S,169
P62072,Mitochondrion,M,90
P43594,Mitochondrion,M,170
A8MTT3,Mitochondrion,M,80
Q9UT40,Mitochondrion,U,247
Q9BWM7,Mitochondrion,M,325
Q9ZNT1,Mitochondrion,M,281
Q8NAN2,Mitochondrion,M,632
Q08952,Mitochondrion,U,273
Q9DAT5,Mitochondrion,U,417
Q08959,Mitochondrion,M,321
Q32PI6,Mitochondrion,U,294
P39525,Mitochondrion,U,442
Q9SP35,Mitochondrion,M,243
Q5JTJ3,Mitochondrion,S,125
Q9XGY4,Mitochondrion,S,77
Q9P7D8,Mitochondrion,M,392
Q9PTD5,Mitochondrion,U,335
Q9P7D4,Mitochondrion,U,918
Q13794,Mitochondrion,U,54
Q8CD10,Mitochondrion,S,432
P39987,Mitochondrion,S,644
Q9BRQ6,Mitochondrion,M,235
Q0WQF7,Mitochondrion,S,637
Q93170,Mitochondrion,U,421
Q8CGK3,Mitochondrion,S,949
Q9SVM8,Mitochondrion,U,158
P47127,Mitochondrion,U,394
O74700,Mitochondrion,M,87
Q96253,Mitochondrion,M,70
Q9Y276,Mitochondrion,M,419
Q5JRX3,Mitochondrion,S,1037
Q3SXM5,Mitochondrion,U,330
Q9FKS5,Mitochondrion,M,307
P39677,Mitochondrion,U,819
P08074,Mitochondrion,S,244
Q9XH48,Mitochondrion,S,87
Q61908,Mitochondrion,U,68
P53170,Mitochondrion,S,491
P53171,Mitochondrion,M,287
P53881,Mitochondrion,U,309
P53889,Mitochondrion,U,259
Q2TA12,Mitochondrion,U,306
Q9UI43,Mitochondrion,U,246
Q9Y3B7,Mitochondrion,U,192
Q8VZI8,Mitochondrion,M,813
Q9SX77,Mitochondrion,M,257
Q09669,Mitochondrion,S,422
O13920,Mitochondrion,M,485
Q9FNK4,Mitochondrion,S,475
Q8LBK6,Mitochondrion,U,169
Q9C6I6,Mitochondrion,S,363
Q02888,Mitochondrion,M,182
P85834,Mitochondrion,U,452
P32344,Mitochondrion,M,111
Q02950,Mitochondrion,U,344
Q6Q0C1,Mitochondrion,M,308
Q3ZBX6,Mitochondrion,U,348
Q9H061,Mitochondrion,M,195
P39112,Mitochondrion,S,969
P40097,Mitochondrion,M,107
Q02771,Mitochondrion,U,107
Q02776,Mitochondrion,M,476
P49448,Mitochondrion,S,558
Q8N3J5,Mitochondrion,S,372
Q9Y5T4,Mitochondrion,M,150
Q10361,Mitochondrion,M,616
P36064,Mitochondrion,M,111
O94710,Mitochondrion,U,412
Q9CZ57,Mitochondrion,U,381
P25270,Mitochondrion,U,412
Q8IS98,Mitochondrion,S,134
Q02375,Mitochondrion,M,175
Q9P6I0,Mitochondrion,U,441
Q8BJ64,Mitochondrion,M,596
Q6CE48,Mitochondrion,M,312
D3ZUA0,Mitochondrion,M,338
Q8R0Z5,Mitochondrion,M,364
O74482,Mitochondrion,U,276
O94629,Mitochondrion,U,106
O42997,Mitochondrion,M,290
O42995,Mitochondrion,U,112
P34227,Mitochondrion,U,261
P21375,Mitochondrion,U,501
Q08822,Mitochondrion,M,631
Q9UT31,Mitochondrion,U,241
Q8LAD2,Mitochondrion,U,341
Q75JL2,Mitochondrion,U,452
Q7L4E1,Mitochondrion,M,593
P12234,Mitochondrion,M,362
Q94AX4,Mitochondrion,U,567
Q9M7T0,Mitochondrion,S,201
Q06892,Mitochondrion,S,414
Q9M0V0,Mitochondrion,S,197
Q9M0G9,Mitochondrion,M,680
Q9LK57,Mitochondrion,U,394
Q9XGX9,Mitochondrion,S,93
P09440,Mitochondrion,U,975
P47045,Mitochondrion,M,478
O94445,Mitochondrion,S,647
P35999,Mitochondrion,S,772
O95140,Mitochondrion,M,757
P35996,Mitochondrion,U,138
Q9NNW7,Mitochondrion,U,524
Q9LIS2,Mitochondrion,U,136
A6QPQ5,Mitochondrion,U,325
Q8CHZ9,Mitochondrion,U,379
Q2M2T7,Mitochondrion,U,167
Q9M7Z1,Mitochondrion,S,483
Q04922,Mitochondrion,U,465
Q9SD80,Mitochondrion,M,54
P53944,Mitochondrion,U,314
Q01519,Mitochondrion,S,83
P53167,Mitochondrion,U,370
P53166,Mitochondrion,U,561
P53163,Mitochondrion,U,194
O14142,Mitochondrion,M,206
Q02772,Mitochondrion,S,108
P08425,Mitochondrion,S,469
P43635,Mitochondrion,U,486
Q8SYD0,Mitochondrion,U,369
Q39218,Mitochondrion,U,391
A4FUC0,Mitochondrion,U,423
P53305,Mitochondrion,U,110
P43122,Mitochondrion,U,407
P00127,Mitochondrion,M,147
Q12305,Mitochondrion,U,139
Q9CQY6,Mitochondrion,S,136
P53230,Mitochondrion,M,385
P53233,Mitochondrion,U,369
Q99373,Mitochondrion,U,253
P25646,Mitochondrion,S,442
P32191,Mitochondrion,M,649
Q9H078,Mitochondrion,U,707
P25642,Mitochondrion,U,146
Q04748,Mitochondrion,U,898
Q8R107,Mitochondrion,S,217
P93033,Mitochondrion,U,492
Q9NPL8,Mitochondrion,M,285
O43007,Mitochondrion,U,972
Q9Y5U8,Mitochondrion,M,109
O75012,Mitochondrion,U,95
Q5ND34,Mitochondrion,U,1934
P97615,Mitochondrion,U,166
P36052,Mitochondrion,U,402
Q8BKY8,Mitochondrion,S,385
P33759,Mitochondrion,U,307
P36056,Mitochondrion,U,628
Q9JK42,Mitochondrion,S,407
Q8IXI1,Mitochondrion,M,618
P33751,Mitochondrion,U,242
Q8IXI2,Mitochondrion,M,618
P38909,Mitochondrion,M,366
P82873,Mitochondrion,M,210
Q0P5I5,Mitochondrion,U,327
Q9FS88,Mitochondrion,U,412
Q96EH3,Mitochondrion,S,234
Q9FS87,Mitochondrion,U,412
Q93YQ3,Mitochondrion,U,323
Q14296-4,Mitochondrion,S,515
Q06089,Mitochondrion,M,161
Q12056,Mitochondrion,S,156
P0C2B8,Mitochondrion,U,126
Q12511,Mitochondrion,S,572
Q6AXS0,Mitochondrion,M,585
P12007,Mitochondrion,S,424
Q96A26,Mitochondrion,M,154
Q9USL7,Mitochondrion,U,166
P34231,Mitochondrion,U,750
Q9USZ1,Mitochondrion,U,770
A1Z6L1,Mitochondrion,M,340
P40496,Mitochondrion,U,264
P40491,Mitochondrion,U,155
Q9SIL6,Mitochondrion,M,286
O74783,Mitochondrion,U,463
P51557,Mitochondrion,U,284
P56277,Mitochondrion,U,68
Q12931,Mitochondrion,M,704
O94453,Mitochondrion,M,272
Q9Y676,Mitochondrion,U,258
Q06668,Mitochondrion,M,471
G8B839,Mitochondrion,S,266
P38300,Mitochondrion,M,278
P18886,Mitochondrion,M,658
Q07914,Mitochondrion,M,168
Q8LEA0,Mitochondrion,U,395
P47140,Mitochondrion,U,327
P47141,Mitochondrion,U,266
P51175,Mitochondrion,M,477
P0C7P0,Mitochondrion,U,127
P53937,Mitochondrion,U,143
Q9M219,Mitochondrion,U,558
Q95NM6,Mitochondrion,U,308
Q874C1,Mitochondrion,M,540
P29117,Mitochondrion,S,206
P53153,Mitochondrion,M,274
P53157,Mitochondrion,M,130
Q10423,Mitochondrion,U,258
Q9UT84,Mitochondrion,U,381
Q653T6,Mitochondrion,U,430
Q9URY9,Mitochondrion,U,203
P53848,Mitochondrion,M,824
P23180,Mitochondrion,U,465
P87320,Mitochondrion,M,903
Q9UKU7,Mitochondrion,U,415
Q9BXH1,Mitochondrion,U,193
Q92843,Mitochondrion,M,193
O14042,Mitochondrion,M,216
Q9NGX9,Mitochondrion,M,489
Q18973,Mitochondrion,U,225
O13704,Mitochondrion,U,363
Q38799,Mitochondrion,S,363
O13702,Mitochondrion,U,450
P53208,Mitochondrion,U,328
O75648,Mitochondrion,U,421
Q27539,Mitochondrion,S,221
P32322,Mitochondrion,U,319
Q9JLZ3,Mitochondrion,U,314
Q7KUT2,Mitochondrion,S,1024
P38876,Mitochondrion,U,190
Q10341,Mitochondrion,U,504
Q8IUX1,Mitochondrion,M,230
F4JWS8,Mitochondrion,M,122
Q6IN84,Mitochondrion,U,353
Q5ND52,Mitochondrion,U,418
Q9H4I9,Mitochondrion,M,107
P36519,Mitochondrion,U,292
Q94AU7,Mitochondrion,M,258
P40008,Mitochondrion,M,231
P36516,Mitochondrion,U,390
Q9CR58,Mitochondrion,M,291
Q99J25,Mitochondrion,U,320
Q9BEA2,Mitochondrion,S,577
Q9P6K8,Mitochondrion,U,210
Q8R4Z9,Mitochondrion,M,741
P86926,Mitochondrion,U,469
P86924,Mitochondrion,U,416
O60313,Mitochondrion,M,960
Q8TGM6,Mitochondrion,U,124
Q06090,Mitochondrion,U,140
Q9S7G6,Mitochondrion,U,991
O74464,Mitochondrion,U,249
Q9USM9,Mitochondrion,M,164
O59680,Mitochondrion,M,307
Q9UT16,Mitochondrion,U,291
Q7L592,Mitochondrion,U,441
Q9DAQ9,Mitochondrion,M,154
Q03020,Mitochondrion,S,165
Q9Y2C4,Mitochondrion,M,368
Q3ZBF3,Mitochondrion,U,380
Q3ZBF6,Mitochondrion,S,412
P37932,Mitochondrion,S,775
Q14CZ7,Mitochondrion,U,662
O00483,Mitochondrion,M,81
P52893,Mitochondrion,S,592
A2RVV7,Mitochondrion,U,352
P38264,Mitochondrion,M,188
Q8N8R3,Mitochondrion,M,303
O74847,Mitochondrion,M,141
Q9LKA3,Mitochondrion,S,341
P48813,Mitochondrion,M,663
Q9N0F1,Mitochondrion,U,455
P40530,Mitochondrion,S,394
Q04837,Mitochondrion,S,148
Q07053,Mitochondrion,S,128
Q2YDI5,Mitochondrion,U,212
Q8LBZ7,Mitochondrion,M,279
Q03246,Mitochondrion,U,237
Q58DV5,Mitochondrion,U,161
P47158,Mitochondrion,S,497
Q8RV04,Mitochondrion,M,112
Q08058,Mitochondrion,M,207
Q9C641,Mitochondrion,U,754
Q6L8Q7,Mitochondrion,S,609
P53142,Mitochondrion,M,486
P53140,Mitochondrion,M,646
P53921,Mitochondrion,U,115
Q9NRP2,Mitochondrion,U,79
Q9VUF8,Mitochondrion,M,540
O94292,Mitochondrion,U,136
O49543,Mitochondrion,U,453
Q10439,Mitochondrion,M,486
Q93XM7,Mitochondrion,M,300
P97478,Mitochondrion,M,217
Q8WVM0,Mitochondrion,U,346
O64764,Mitochondrion,S,194
Q9LSQ2,Mitochondrion,U,659
Q8N4Q1,Mitochondrion,S,142
Q9UIJ7,Mitochondrion,S,227
O36029,Mitochondrion,U,123
Q9H3K2,Mitochondrion,M,345
Q8IW03,Mitochondrion,U,269
Q12328,Mitochondrion,M,207
Q9H4B0,Mitochondrion,U,414
Q7KSC4,Mitochondrion,M,107
P53219,Mitochondrion,U,342
Q9XI46,Mitochondrion,M,159
Q75Q39,Mitochondrion,M,610
O43716,Mitochondrion,U,136
Q9ZWT1,Mitochondrion,U,374
O04862,Mitochondrion,U,515
Q64536,Mitochondrion,S,407
Q2KIR7,Mitochondrion,U,295
Q8VI64,Mitochondrion,M,283
Q99757,Mitochondrion,U,166
Q93WF6,Mitochondrion,U,97
Q5XIE6,Mitochondrion,U,385
Q382V8,Mitochondrion,S,496
Q641Y2,Mitochondrion,M,463
P36528,Mitochondrion,U,281
P36038,Mitochondrion,U,271
P40012,Mitochondrion,M,539
P36520,Mitochondrion,U,322
P36521,Mitochondrion,U,249
P36523,Mitochondrion,U,253
P36525,Mitochondrion,U,258
P36526,Mitochondrion,U,146
P36527,Mitochondrion,U,147
Q12106,Mitochondrion,M,302
P05165,Mitochondrion,S,728
P14693,Mitochondrion,M,329
Q9FNR1,Mitochondrion,U,309
Q9WVJ4,Mitochondrion,M,145
O94615,Mitochondrion,U,481
Q9VAY3,Mitochondrion,M,379
P33310,Mitochondrion,M,695
P33311,Mitochondrion,M,773
P36141,Mitochondrion,U,133
Q9N2I8,Mitochondrion,U,511
Q5BJX1,Mitochondrion,U,134
Q84WU8,Mitochondrion,M,809
Q9USJ1,Mitochondrion,U,298
Q9P801,Mitochondrion,U,101
Q3ZBU2,Mitochondrion,M,106
Q9USJ9,Mitochondrion,U,173
Q9UT03,Mitochondrion,M,677
O59677,Mitochondrion,U,476
O59674,Mitochondrion,M,297
O59673,Mitochondrion,M,103
P38783,Mitochondrion,U,130
Q8R3K3,Mitochondrion,U,381
Q6UXV4,Mitochondrion,M,268
O94502,Mitochondrion,M,426
Q9NWU1,Mitochondrion,U,459
Q9BYV7,Mitochondrion,U,579
Q9BYV1,Mitochondrion,U,514
Q9SIB9,Mitochondrion,U,990
P38071,Mitochondrion,S,380
Q9LK29,Mitochondrion,M,307
Q9HDV9,Mitochondrion,U,169
Q9LK25,Mitochondrion,M,279
P18409,Mitochondrion,M,493
Q32PC3,Mitochondrion,U,148
P51970,Mitochondrion,M,172
Q9UQ90,Mitochondrion,M,795
Q9BYD6,Mitochondrion,U,325
O94504,Mitochondrion,U,133
Q12467,Mitochondrion,M,430
Q9US51,Mitochondrion,U,366
F4I7I0,Mitochondrion,U,543
Q9P6P9,Mitochondrion,S,425
Q06683,Mitochondrion,U,689
Q9NP92,Mitochondrion,U,439
P38323,Mitochondrion,M,520
Q86XF0,Mitochondrion,M,187
O81433,Mitochondrion,S,171
O14286,Mitochondrion,M,693
O94320,Mitochondrion,S,437
O00746,Mitochondrion,M,187
Q22100,Mitochondrion,U,407
Q04599,Mitochondrion,U,285
Q04598,Mitochondrion,U,105
P32830,Mitochondrion,M,109
P17505,Mitochondrion,S,334
P31334,Mitochondrion,U,269
P87239,Mitochondrion,U,528
Q9P335,Mitochondrion,M,90
Q9FZ81,Mitochondrion,M,336
Q9H2V7,Mitochondrion,M,528
Q15118,Mitochondrion,S,436
P51998,Mitochondrion,U,286
Q12482,Mitochondrion,M,902
O15229,Mitochondrion,M,486
Q9H845,Mitochondrion,U,621
Q5EBM0,Mitochondrion,U,449
Q4V7F3,Mitochondrion,U,414
Q05779,Mitochondrion,M,260
P53869,Mitochondrion,U,86
Q05776,Mitochondrion,M,175
P32785,Mitochondrion,U,401
P32787,Mitochondrion,S,269
Q57YZ9,Mitochondrion,S,306
Q04172,Mitochondrion,M,456
Q9LQL0,Mitochondrion,U,166
Q8H1Y0,Mitochondrion,S,393
O13525,Mitochondrion,M,335
O14263,Mitochondrion,U,96
O14268,Mitochondrion,U,312
P67779,Mitochondrion,M,272
P67778,Mitochondrion,M,272
P27144,Mitochondrion,S,223
O49627,Mitochondrion,S,167
P00175,Mitochondrion,S,591
P53598,Mitochondrion,U,329
Q92665,Mitochondrion,U,395
P53260,Mitochondrion,M,183
P53264,Mitochondrion,U,445
Q6PI48,Mitochondrion,S,645
P14066,Mitochondrion,M,229
Q9BQP7,Mitochondrion,U,344
P14063,Mitochondrion,U,131
P26364,Mitochondrion,S,225
Q383Q5,Mitochondrion,S,209
Q6UB28,Mitochondrion,U,335
Q9GZT6,Mitochondrion,M,254
Q9SS48,Mitochondrion,M,629
P16036,Mitochondrion,M,356
P47084,Mitochondrion,U,519
P38891,Mitochondrion,S,393
Q9FZD1,Mitochondrion,U,630
P02992,Mitochondrion,U,437
Q14154,Mitochondrion,U,515
P10834,Mitochondrion,M,293
O24164,Mitochondrion,U,504
Q9Y5J7,Mitochondrion,M,89
Q8VED8,Mitochondrion,U,361
C0LGJ1,Mitochondrion,M,1106
P42844,Mitochondrion,M,174
P42847,Mitochondrion,U,217
Q9NZ45,Mitochondrion,M,108
Q02337,Mitochondrion,M,344
Q9JM54,Mitochondrion,U,103
P47131,Mitochondrion,M,105
Q4G176,Mitochondrion,U,576
Q6DQL1,Mitochondrion,U,337
Q8L7K9,Mitochondrion,U,607
P12695,Mitochondrion,S,482
P36532,Mitochondrion,U,105
P36531,Mitochondrion,U,177
Q923K4,Mitochondrion,U,492
Q7TNG8,Mitochondrion,U,484
Q9NR28,Mitochondrion,U,239
P38790,Mitochondrion,U,280
Q06524,Mitochondrion,M,206
P38797,Mitochondrion,U,343
Q9JJG9,Mitochondrion,M,693
Q9FFH5,Mitochondrion,M,278
Q9LEV3,Mitochondrion,U,206
Q93Y94,Mitochondrion,U,1002
P41735,Mitochondrion,M,233
Q9HDW8,Mitochondrion,U,146
P38860,Mitochondrion,M,518
Q9FUT3,Mitochondrion,M,678
Q06143,Mitochondrion,M,298
Q8TDB4,Mitochondrion,M,240
Q96I59,Mitochondrion,S,477
Q9US28,Mitochondrion,U,583
Q66JZ4,Mitochondrion,U,499
Q9BYC2,Mitochondrion,U,517
Q9NVH1,Mitochondrion,U,559
Q8WZK1,Mitochondrion,U,121
Q9HC36,Mitochondrion,U,420
Q5T440,Mitochondrion,U,356
P40515,Mitochondrion,M,155
Q9EPI8,Mitochondrion,U,374
Q9BUB7,Mitochondrion,M,260
O82663,Mitochondrion,M,634
O82662,Mitochondrion,U,421
Q9P032,Mitochondrion,M,175
Q96QE5,Mitochondrion,S,360
Q03798,Mitochondrion,M,255
Q03799,Mitochondrion,U,155
Q9UJA2,Mitochondrion,M,301
Q9FMV1,Mitochondrion,M,252
P53123,Mitochondrion,U,320
P91928,Mitochondrion,M,739
Q09785,Mitochondrion,U,1031
O14182,Mitochondrion,U,162
O14189,Mitochondrion,U,444
Q9JHS4,Mitochondrion,S,634
O60096,Mitochondrion,U,315
Q49AM1,Mitochondrion,S,385
Q924S5,Mitochondrion,S,950
O13642,Mitochondrion,U,370
P49017,Mitochondrion,M,307
Q9BVS5,Mitochondrion,U,477
P53875,Mitochondrion,U,158
P10355,Mitochondrion,M,254
P92792,Mitochondrion,M,204
P97997,Mitochondrion,M,474
P53051,Mitochondrion,U,589
Q05892,Mitochondrion,U,277
P00348,Mitochondrion,S,314
P08593,Mitochondrion,U,268
P68209,Mitochondrion,U,347
Q04083,Mitochondrion,M,370
P32795,Mitochondrion,M,747
P32792,Mitochondrion,M,385
Q6UB35,Mitochondrion,U,978
A2VD13,Mitochondrion,S,686
Q02783,Mitochondrion,M,413
Q02784,Mitochondrion,S,150
P17152,Mitochondrion,M,192
Q9NPB1,Mitochondrion,U,228
P38885,Mitochondrion,U,310
P38884,Mitochondrion,U,321
Q9Y7U8,Mitochondrion,U,139
Q0E3C8,Mitochondrion,U,983
Q8N4E7,Mitochondrion,U,242
P40033,Mitochondrion,U,138
Q7Z7K0,Mitochondrion,U,106
P40035,Mitochondrion,M,300
Q9HCN2,Mitochondrion,U,124
Q9C6B3,Mitochondrion,M,278
Q9ZPX5,Mitochondrion,M,632
Q9M1D3,Mitochondrion,S,464
O75127,Mitochondrion,S,700
Q9FLD5,Mitochondrion,M,514
Q03327,Mitochondrion,M,502
Q0VC21,Mitochondrion,U,297
Q5ZIS0,Mitochondrion,M,157
Q9USH2,Mitochondrion,U,143
Q8IXM3,Mitochondrion,U,137
P12687,Mitochondrion,U,371
P12686,Mitochondrion,U,339
P36013,Mitochondrion,S,669
F4IW10,Mitochondrion,U,754
O74984,Mitochondrion,U,139
O74988,Mitochondrion,M,186
P40341,Mitochondrion,M,825
A4F267,Mitochondrion,M,308
Q99LR1,Mitochondrion,M,398
Q8BVN4,Mitochondrion,U,346
Q9SWG0,Mitochondrion,U,409
Q969P6,Mitochondrion,U,601
Q9Y8C0,Mitochondrion,M,92
P83483,Mitochondrion,M,556
